Month of data..

select * from solar_data where event like '%202206%' order by event desc

event	        solar_level	battery_level	battery_load	battery_state	        grid_level	load_level
20220615213014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220615211514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220615210014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220615204514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220615203014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220615201514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220615200014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.2 kW    	1.2 kW    
20220615194514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220615193014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220615191516	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220615190014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220615184514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220615183014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220615181513	0.0 kW    	21%       	0.0 kW    	IDLE            	1.6 kW    	1.6 kW    
20220615180014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.8 kW    	0.8 kW    
20220615174514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	1.4 kW    
20220615173014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.3 kW    
20220615171514	0.1 kW    	21%       	0.0 kW    	IDLE            	1.9 kW    	2.0 kW    
20220615170014	0.1 kW    	21%       	0.0 kW    	IDLE            	1.3 kW    	1.4 kW    
20220615164514	0.1 kW    	21%       	0.0 kW    	IDLE            	1.9 kW    	2.0 kW    
20220615163014	0.1 kW    	21%       	0.0 kW    	IDLE            	1.8 kW    	1.9 kW    
20220615161514	0.1 kW    	21%       	0.0 kW    	IDLE            	1.7 kW    	1.8 kW    
20220615160014	0.3 kW    	21%       	1.0 kW    	DISCHARGING     	0.0 kW    	1.3 kW    
20220615154514	0.6 kW    	25%       	2.6 kW    	DISCHARGING     	0.1 kW    	3.3 kW    
20220615153014	0.9 kW    	28%       	1.0 kW    	DISCHARGING     	0.0 kW    	1.9 kW    
20220615151514	1.0 kW    	36%       	2.9 kW    	DISCHARGING     	0.1 kW    	4.0 kW    
20220615150014	1.2 kW    	40%       	2.3 kW    	DISCHARGING     	0.0 kW    	3.5 kW    
20220615144514	1.3 kW    	41%       	0.0 kW    	IDLE            	0.1 kW    	1.4 kW    
20220615143014	1.6 kW    	42%       	0.3 kW    	DISCHARGING     	0.0 kW    	1.9 kW    
20220615141514	1.8 kW    	42%       	0.8 kW    	CHARGING        	0.0 kW    	1.0 kW    
20220615140014	2.0 kW    	41%       	0.8 kW    	CHARGING        	0.0 kW    	1.2 kW    
20220615134514	2.7 kW    	38%       	1.3 kW    	CHARGING        	0.0 kW    	1.4 kW    
20220615133014	3.1 kW    	37%       	0.8 kW    	CHARGING        	0.2 kW    	2.1 kW    
20220615131514	2.6 kW    	35%       	1.3 kW    	CHARGING        	0.0 kW    	1.3 kW    
20220615130014	3.0 kW    	33%       	1.0 kW    	CHARGING        	0.0 kW    	2.0 kW    
20220615124514	3.0 kW    	32%       	1.1 kW    	CHARGING        	0.0 kW    	1.9 kW    
20220615123014	2.6 kW    	30%       	0.9 kW    	CHARGING        	0.2 kW    	1.9 kW    
20220615121514	3.2 kW    	28%       	0.8 kW    	CHARGING        	0.0 kW    	2.4 kW    
20220615120014	3.4 kW    	26%       	0.9 kW    	CHARGING        	0.0 kW    	2.5 kW    
20220615114513	3.1 kW    	25%       	1.1 kW    	CHARGING        	0.0 kW    	2.0 kW    
20220615113014	1.2 kW    	23%       	0.0 kW    	IDLE            	1.3 kW    	2.5 kW    
20220615111514	1.6 kW    	23%       	0.0 kW    	IDLE            	2.1 kW    	3.7 kW    
20220615110014	0.8 kW    	23%       	0.0 kW    	IDLE            	2.8 kW    	3.6 kW    
20220615104514	1.2 kW    	23%       	0.0 kW    	IDLE            	2.3 kW    	3.5 kW    
20220615103014	2.0 kW    	23%       	0.0 kW    	IDLE            	0.0 kW    	2.0 kW    
20220615101514	1.2 kW    	23%       	0.0 kW    	IDLE            	0.1 kW    	1.3 kW    
20220615100014	1.1 kW    	22%       	0.0 kW    	IDLE            	0.8 kW    	1.9 kW    
20220615094514	1.2 kW    	22%       	0.0 kW    	IDLE            	1.0 kW    	2.2 kW    
20220615093014	0.3 kW    	22%       	0.0 kW    	IDLE            	1.7 kW    	2.0 kW    
20220615091514	0.4 kW    	22%       	0.0 kW    	IDLE            	2.4 kW    	2.8 kW    
20220615090014	0.3 kW    	22%       	0.0 kW    	IDLE            	4.6 kW    	4.9 kW    
20220615084514	0.3 kW    	22%       	0.0 kW    	IDLE            	2.0 kW    	2.3 kW    
